"Encryption controller","1080","Advanced Micro Devices, Inc. [AMD] Family 19h (Model 74h) CCP/PSP 3.0 Device ","1022:15c7","-","Advanced Micro Devices, Inc. [AMD] Family 19h (Model 74h) CCP/PSP 3.0 Device [1022:15c7]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15b9","-","Advanced Micro Devices, Inc. [AMD] Device [1022:15b9]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15ba","-","Advanced Micro Devices, Inc. [AMD] Device [1022:15ba]"
"Multimedia controller","0480","Advanced Micro Devices, Inc. [AMD] ACP/ACP3X/ACP6x Audio Coprocessor ","1022:15e2","63","Advanced Micro Devices, Inc. [AMD] ACP/ACP3X/ACP6x Audio Coprocessor [1022:15e2]"
"Audio device","0403","Advanced Micro Devices, Inc. [AMD] Family 17h/19h HD Audio Controller ","1022:15e3","-","Conexant Systems, Inc. Device [14f1:1f87]"
"Non-Essential Instrumentation","1300","Advanced Micro Devices, Inc. [AMD] Device ","1022:14ec","-","Advanced Micro Devices, Inc. [AMD] Device [1022:14ec]"
"Signal processing controller","1180","Advanced Micro Devices, Inc. [AMD] AMD IPU Device ","1022:1502","-","AIstone Global Limited Device [1d05:140b]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15c0","-","Advanced Micro Devices, Inc. [AMD] Device [1022:15c0]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15c1","-","Advanced Micro Devices, Inc. [AMD] Device [1022:15c1]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Pink Sardine USB4/Thunderbolt NHI controller #2 ","1022:1669","-","Advanced Micro Devices, Inc. [AMD] Pink Sardine USB4/Thunderbolt NHI controller #2 [1022:1669]"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Family 17h-19h PCIe Root Complex ","1022:14b5","01","Tongfang Hongkong Limited Family 17h-19h PCIe Root Complex [1d05:160a]"
"IOMMU","0806","Advanced Micro Devices, Inc. [AMD] Family 17h-19h IOMMU ","1022:14b6","-","Tongfang Hongkong Limited Family 17h-19h IOMMU [1d05:160a]"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Family 17h-19h PCIe Dummy Host Bridge ","1022:14b7","01","-"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Family 17h-19h PCIe GPP Bridge ","1022:14b8","-","Advanced Micro Devices, Inc. [AMD] Family 17h-19h PCIe GPP Bridge [1022:1453]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Family 17h-19h PCIe GPP Bridge ","1022:14ba","-","Advanced Micro Devices, Inc. [AMD] Family 17h-19h PCIe GPP Bridge [1022:1453]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Family 19h USB4/Thunderbolt PCIe tunnel ","1022:14cd","-","Advanced Micro Devices, Inc. [AMD] Family 19h USB4/Thunderbolt PCIe tunnel [1022:1453]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Family 17h-19h Internal PCIe GPP Bridge ","1022:14b9","10","Advanced Micro Devices, Inc. [AMD] Family 17h-19h Internal PCIe GPP Bridge [1022:14b9]"
"ISA bridge","0601","Advanced Micro Devices, Inc. [AMD] FCH LPC Bridge ","1022:790e","51","Tongfang Hongkong Limited FCH LPC Bridge [1d05:160a]"
"Non-Volatile memory controller","0108","Samsung Electronics Co Ltd NVMe SSD Controller PM9A1/PM9A3/980PRO ","144d:a80a","-","Samsung Electronics Co Ltd NVMe SSD Controller PM9A1/PM9A3/980PRO (SSD 980 PRO) [144d:a801]"
"Ethernet controller","0200","Realtek Semiconductor Co., Ltd. RTL8125 2.5GbE Controller ","10ec:8125","05","Realtek Semiconductor Co., Ltd. RTL8125 2.5GbE Controller [10ec:0123]"
"Network controller","0280","MEDIATEK Corp. MT7921K (RZ608) Wi-Fi 6E 80MHz ","14c3:0608","-","MEDIATEK Corp. MT7921K (RZ608) Wi-Fi 6E 80MHz [14c3:0608]"
"Non-Volatile memory controller","0108","INNOGRIT Corporation NVMe SSD Controller IG5236 ","1dbe:5236","01","INNOGRIT Corporation NVMe SSD Controller IG5236 [1dbe:5236] Subsystem: Tongfang Hongkong Limited Family 19h PSP/CCP [1d05:160a]"
"Multimedia controller","0480","Advanced Micro Devices, Inc. [AMD] ACP/ACP3X/ACP6x Audio Coprocessor ","1022:15e2","60","Tongfang Hongkong Limited ACP/ACP3X/ACP6x Audio Coprocessor [1d05:160a]"
"Audio device","0403","Advanced Micro Devices, Inc. [AMD] Family 17h/19h HD Audio Controller ","1022:15e3","-","Tongfang Hongkong Limited Family 17h/19h HD Audio Controller [1d05:160a]"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Family 17h-19h PCIe Root Complex ","1022:14b5","01","Lenovo Device [17aa:3806]"
"IOMMU","0806","Advanced Micro Devices, Inc. [AMD] Family 17h-19h IOMMU ","1022:14b6","-","Lenovo Device [17aa:3803]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Family 17h-19h PCIe GPP Bridge ","1022:14b8","-","Advanced Micro Devices, Inc. [AMD] Device [1022:1453]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Family 17h-19h PCIe GPP Bridge ","1022:14ba","-","Advanced Micro Devices, Inc. [AMD] Device [1022:1453]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Family 19h USB4/Thunderbolt PCIe tunnel ","1022:14cd","-","Advanced Micro Devices, Inc. [AMD] Device [1022:1453]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Family 17h-19h Internal PCIe GPP Bridge ","1022:14b9","10","Advanced Micro Devices, Inc. [AMD] Family 17h-19h Internal PCIe GPP Bridge [1022:14b9] Subsystem: Lenovo Device [17aa:3860]"
"Non-Volatile memory controller","0108","Samsung Electronics Co Ltd NVMe SSD Controller PM9A1/PM9A3/980PRO ","144d:a80a","-","Samsung Electronics Co Ltd SSD 980 PRO [144d:a801]"
"Ethernet controller","0200","Realtek Semiconductor Co., Ltd. RTL8111/8168/8211/8411 PCI Express Gigabit Ethernet Controller ","10ec:8168","15","Lenovo Device [17aa:3944]"
"SD Host controller","0805","O2 Micro, Inc. SD/MMC Card Reader Controller ","1217:8621","01","O2 Micro, Inc. Device [1217:0002]"
"Non-Volatile memory controller","0108","MAXIO Technology (Hangzhou) Ltd. NVMe SSD Controller MAP1602 (DRAM-less) ","1e4b:1602","01","MAXIO Technology (Hangzhou) Ltd. NVMe SSD Controller MAP1602 (DRAM-less) [1e4b:1602] Subsystem: Lenovo Device [17aa:3814] Subsystem: Lenovo Device [17aa:3805]"
"Encryption controller","1080","Advanced Micro Devices, Inc. [AMD] Family 19h PSP/CCP ","1022:1649","-","Lenovo Device [17aa:381d]"
